"ratings","claimant","claim"
"0.62"," Mike Pence","While she was secretary of state, the Clinton Foundation accepted tens of millions of dollars from foreign governments and foreign donors."
"0.61"," Mike Pence","Three hundred and five  economists said your plan is bad for the economy."
"0.61"," Mike Pence","The Clinton Foundation accepted foreign contributions from foreign governments and foreign donors while she was secretary of state."
"0.61"," Tim Kaine","Hillary and I also agree that the establishment of humanitarian zones in northern Syria with the provision of international human aid, consistent with the U.N. Security Council resolution that was passed in February 2014, would be a very, very good idea."
"0.60"," Tim Kaine","And, fifth, we have a tax plan that targets tax relief to middle- class individuals and small businesses and asks those at the very top who've benefited as we've come out of recession to pay more."
"0.60"," Tim Kaine","Under Secretary Clinton's leadership, she was part of the national team, public safety team that went after and revived the dormant hunt against bin Laden and wiped him off the face of the Earth."
"0.60"," Mike Pence","It is -- ISIS from Raqqa has overrun vast areas that at great sacrifice the American soldier won in Operation Iraqi Freedom, and yet Senator Kaine still sits here, loyal soldier -- I get all that -- in saying that the foreign policy of Hillary Clinton and Barack Obama somehow made the world more secure."
"0.59"," Mike Pence","I mean, when an African-American police officer in Charlotte named Brentley Vinson, an all-star football player who went to Liberty University here in the state, came home, followed his dad into law enforcement, joined the force in Charlotte, joined the force in Charlotte in 2014, was involved in a police action shooting that claimed the life of Keith -- Keith Lamont Scott, it was a tragedy."
"0.59"," Mike Pence","Those tax returns that were -- that came out publicly this week show that he faced some pretty tough times 20 years ago."
"0.59"," Tim Kaine","... border security three years ago, and Governor Pence was against it."
"0.58"," Tim Kaine","There's only 15,000."
"0.58"," Tim Kaine","For the first time ever, we cracked the top 10, 10 safest states, because we worked together."
"0.58"," Mike Pence","He left his state about $2 billion in the hole."
"0.58"," Mike Pence","Elaine, to your point, those judges said it was because there wasn't any evidence yet that -- that ISIS had infiltrated the United States."
"0.58"," Tim Kaine","Ninety percent."
"0.57"," Tim Kaine","On 9/11, Hillary Clinton and Donald Trump's hometown was attacked by the worst terrorist attack in the history of the United States."
"0.57"," Mike Pence","But Hillary Clinton actually referred to that moment as an example of implicit bias in the police force, where -- where she used -- when she was asked in the debate a week ago whether there was implicit bias in law enforcement, her only answer was that there's implicit bias in everyone in the United States."
"0.57"," Tim Kaine","The Trump plan would cost 3.5 million jobs."
"0.57"," Tim Kaine","And again, Hillary is running a campaign about stronger together, and Donald Trump -- and this is -- this is not directed at this man, except to the extent that he can't defend Donald Trump -- Donald Trump has run a campaign that's been about one insult after the next."
"0.56"," Tim Kaine","When Hillary Clinton became secretary of state, Governor Pence, did you know that Osama bin Laden was alive?"
"0.56"," Tim Kaine","A $20,000 portrait of Donald Trump?"
"0.56"," Mike Pence","The point is, what this Iran -- so-called Iran deal did was essentially guarantee -- I mean, when I was in Congress, I fought hard on a bipartisan basis with Republican and Democrat members to move forward the toughest sanctions, it -- literally in the history of the United States, against Iran."
"0.56"," Tim Kaine","But he had been stopped by police 40 or 50 times before that fatal incident."
"0.55"," Tim Kaine","But I was governor of a state, and the state law said that there was a death penalty for crimes if the jury determined them to be heinous."
"0.55"," Mike Pence","And the truth of the matter is, the weak and feckless foreign policy of Hillary Clinton and Barack Obama has awakened an aggression in Russia that first appeared a few years ago with their move in Georgia, now their move into Crimea, now their move into the wider Middle East."
"0.55"," Tim Kaine","Mike Pence, when he was in Congress, voted against raising the minimum wage above $5.15."
"0.55"," Tim Kaine","The thing I would worry a little bit about is that Donald Trump owes about $650 million to banks, including the Bank of China."
"0.55"," Tim Kaine","As a civil rights lawyer in the South, with the Children's Defense Fund, first lady of Arkansas and this country, senator, secretary of state, it's always been about putting others first."
"0.55"," Mike Pence","I think the fact that -- that under this past administration was of which Hillary Clinton was a part, we've almost doubled the national debt is atrocious."
"0.54"," Mike Pence","I mean, he keeps saying that they prevented -- that Hillary Clinton started the deal with the Iranians prevented Iran from getting a nuclear weapon."
"0.54"," Tim Kaine","And as a candidate, he started his campaign with a speech where he called Mexicans rapists and criminals, and he has pursued the discredited and really outrageous lie that President Obama wasn't born in the United States."
"0.54"," Tim Kaine","Governor Pence made the odd claim, he said inarguably Vladimir Putin is a better leader than President Obama."
"0.54"," Mike Pence","... that it's a good thing, not a bad thing, that it's a good thing -- not a bad thing -- that we're down from 175,000 troops deployed overseas to 15,000."
"0.54"," Mike Pence","And the small and bullying leader of Russia is now dictating terms to the United States to the point where all the United States of America -- the greatest nation on Earth -- just withdraws from talks about a cease-fire while Vladimir Putin puts a missile defense system in Syria while he marshals the forces and begins -- look, we have got to begin to lean into this with strong, broad-shouldered American leadership."
"0.53"," Mike Pence","And I have appreciated the fact that you've supported the Hyde amendment, which bans the use of taxpayer funding for abortion, in the past, but that's not Hillary Clinton's view."
"0.53"," Tim Kaine","And when I came in, we had one of the highest homicide rates in the United States."
"0.53"," Mike Pence","We have the lowest number of troops since the end of the Second World War."
"0.53"," Tim Kaine","We fought very, very hard over the course of my time in local office with our police department, and we reduced our homicide rate nearly in half."
"0.53"," Mike Pence","Our economy is 16 times larger than the Russian economy."
"0.53"," Mike Pence","And a reference to the Iranian deal, the Iranian deal that Hillary Clinton initiated, $150 billion to the radical mullahs in Iran."
"0.53"," Mike Pence","Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving -- that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak."
"0.52"," Tim Kaine","It was Hillary Clinton that worked with Russia to get them engaged in a community of nations to stop the Iranian nuclear weapons without firing a shot."
"0.52"," Tim Kaine","The second component of the plan is massive tax breaks for the very top, trillions of dollars of tax breaks for people just like Donald Trump."
"0.52"," Tim Kaine","The New York Times story -- and we need to get this -- but the New York Times suggested that he probably didn't pay taxes for about 18 years starting in 1995."
"0.52"," Mike Pence","We have the smallest Navy since 1916."
"0.52"," Mike Pence","It really is remarkable that they actually are advocating a trillion dollars in tax increases, which I get that."
"0.52"," Mike Pence","But a trillion dollars in tax increases, more regulation, more of the same war on coal, and more of Obamacare that now even former President Bill Clinton calls Obamacare a crazy plan."
"0.52"," Mike Pence","Well, look, I can defend -- I -- I -- I can -- I can make very clear to the American people, after traveling millions of miles as our secretary of state, after being the architect of the foreign policy of this administration, America is less safe today than it was the day that Barack Obama became president of the United States."
"0.52"," Mike Pence","Look, Donald Trump has filed over 100 pages of financial disclosure, which is what the law requires."
"0.51"," Tim Kaine","Hillary Clinton was first lady, then senator for eight years and secretary of state."
"0.51"," Mike Pence","When Donald Trump and I observe that, as I've said in Syria, in Iran, in Ukraine, that the small and bullying leader of Russia has been stronger on the world stage than this administration, that's stating painful facts."
"0.51"," Tim Kaine","It's, first, dramatically expanding our intelligence capacities by hiring great professionals, but also we've got some of the best intel and cyber employees in the world right here in the United States working for many of our private sector companies."
"0.51"," Mike Pence","He actually -- he actually tried to raise taxes by about $4 billion."
"0.51"," Tim Kaine","Richard Nixon released tax returns when he was under audit."
"0.51"," Mike Pence","And if Russia chooses to be involved and continue, I should say, to be involved in this barbaric attack on civilians in Aleppo, the United States of America should be prepared to use military force to strike military targets of the Assad regime to prevent them from this humanitarian crisis that is taking place in Aleppo."
"0.50"," Tim Kaine","But I've got a lot of scar tissue, because when I was governor of Virginia, there was a horrible shooting at Virginia Tech, and we learned that through that painful situation that gaps in the background record check system should have been closed and it could have prevented that crime, and so we're going to work to do things like close background record checks."
"0.50"," Mike Pence","He created a runway -- because he's created a business that's worth billions of dollars today."
"0.50"," Mike Pence","Well, Germany just arrested three Syrian refugees that were connected to ISIS."
"0.50"," Tim Kaine","That's another 4.5 million people."
"0.50"," Mike Pence","When we get back to 3.5 percent to 4 percent growth with Donald Trump's plan will do, then we're going to have the resources to meet our nation's needs at home and abroad, and we're going to have the ability to bring down the national debt."
"0.50"," Tim Kaine","The terrorist threat to United States troops has been decreased in some ways because there's not 175,000 in a dangerous part of the world."
"0.49"," Mike Pence","I mean, the situation we're watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create."
"0.49"," Mike Pence","The reality is that there's heartbreak and tragedy that has struck American families because people that came into this country illegally are now involved in criminal enterprise and activity."
"0.49"," Mike Pence","... troops from Iraq, and ISIS was able to be conjured up in that vacuum."
"0.49"," Tim Kaine","It provides AIDS drugs to about 11.5 million people."
"0.49"," Tim Kaine","The Clinton Foundation is one of the highest- rated charities in the world."
"0.49"," Tim Kaine","She was part of the national security team that wiped out bin Laden."
"0.49"," Mike Pence","But the truth is, Osama bin Laden led Al Qaida."
"0.48"," Mike Pence","And when Donald Trump is president of the United States, we're -- we're not going to have the -- the kind of posture in the world that has Russia invading Crimea and Ukraine, that has the Chinese building new islands in the South China Sea, that has literally the world, including North Korea, flouting American power."
"0.48"," Tim Kaine","Every president since Richard Nixon has done it, and Donald Trump has said I'm doing business with Russia."
"0.48"," Tim Kaine","She went once famously to China and stood up at a human rights meeting and looked them in the eye and said, \""Women's rights are human rights.\"""
"0.48"," Tim Kaine","So they actually supported the sanctions package, even though many of the sanctions are against Chinese firms, Chinese financial institutions."
"0.48"," Mike Pence","His tax returns -- his tax returns showed he went through a very difficult time, but he used the tax code just the way it's supposed to be used."
"0.48"," Tim Kaine","Hillary Clinton has gone toe-to- toe with Russia."
"0.47"," Mike Pence","Senator, when African-American police officers involved in a police action shooting involving an African-American, why would Hillary Clinton accuse that African-American police officer of implicit bias?"
"0.47"," Mike Pence","He's employed tens of thousands of people in this country."
"0.47"," Mike Pence","The state of Indiana has balanced budgets."
"0.46"," Tim Kaine","She worked across the aisle after 9/11 to get health benefits for the first responders who bravely went into the towers and into the Pentagon."
"0.46"," Mike Pence","But because Hillary Clinton and Barack Obama failed to provide a status of forces agreement and leave sufficient troops in there, we are back at war."
"0.46"," Tim Kaine","He trash talks the military."
"0.46"," Mike Pence","Ronald Reagan also said nuclear war should never be fought because it can never be won."
"0.46"," Tim Kaine","I'm proud because her vision of stronger together, building an economy that works for all, not just those at the top, being safe in the world not only with a strong military, but also strong alliances to battle terrorism and climate change, and also to build a community of respect, just like Barbara Johns tried to do 65 years ago."
"0.46"," Mike Pence","And you heard one of the last things he mentioned was border security."
"0.46"," Mike Pence","She built the sanctions regime around the word that stopped the Iranian nuclear weapons program."
"0.46"," Mike Pence","It's worked in the Hoosier state."
"0.45"," Mike Pence","Most of the stuffy you've said, he's never said."
"0.45"," Tim Kaine","She went toe-to-toe with Russia as secretary of state to do the New START Agreement to reduce Russia's nuclear stockpile."
"0.45"," Tim Kaine","Even the Israeli military says it stopped."
"0.45"," Tim Kaine","Young men and women -- young men and women signed up to serve in the military to fight terrorism."
"0.45"," Tim Kaine","Then he survived the Soviet Union takeover of his country."
"0.45"," Mike Pence",".... calling half of Donald Trump's supporters a basket of deplorables."
"0.45"," Mike Pence","At a time when literally, in the wake of Hillary Clinton's tenure as secretary of state, where she was the architect of the Obama administration's foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control."
"0.45"," Mike Pence","We ought to deploy a missile defense shield to the Czech Republic and Poland which Hillary Clinton and Barack Obama pulled back on out of not wanting to offend the Russians back in 2009."
"0.45"," Tim Kaine","She went toe-to-toe with Russia and lodged protests when they went into Georgia."
"0.44"," Tim Kaine","Governor, President Bush said we would leave Iraq at the end of 2011."
"0.44"," Mike Pence","We were bringing them to heel, but the goal was always that we would only lift the sanctions if Iran permanently renounced their nuclear ambitions."
"0.44"," Tim Kaine","He stood on the stage last week and when Hillary said, you haven't been paying taxes, he said, \""That makes me smart.\"""
"0.44"," Tim Kaine","He said African-Americans are living in Hell."
"0.44"," Tim Kaine","Fifteen million new jobs?"
"0.44"," Tim Kaine","Fifteen million new jobs?"
"0.44"," Tim Kaine","We have a justice system that does that."
"0.44"," Mike Pence","But I think he's a very fitting running mate for Hillary Clinton, because in the wake of a season where American families are struggling in this economy under the weight of higher taxes and Obamacare and the war on coal and the stifling avalanche of regulation coming out of this administration, Hillary Clinton and Tim Kaine want more of the same."
"0.44"," Tim Kaine","... improved dramatically between 2014 and 2015."
"0.44"," Tim Kaine","So you like the 16 million deportations?"
"0.44"," Tim Kaine","That may be the $64,000 question, because it has been a divisive campaign."
"0.43"," Tim Kaine","And I worked with Jesuit missionaries in Honduras, now nearly 35 years ago, and they were the heroes of my life."
"0.43"," Tim Kaine","He's called women slobs, pigs, dogs, disgusting."
"0.43"," Tim Kaine","... that Hillary was part of a team that got bin Laden."
"0.43"," Tim Kaine","Did he apologize for saying African-Americans are living in Hell?"
"0.43"," Tim Kaine","And we've done the same thing about Ukraine, but more than launching protests, we've put punishing economic sanctions on Russia that we need to continue."
"0.43"," Tim Kaine","Yes, we did."
"0.43"," Mike Pence","Hillary Clinton and Tim Kaine want to increase the Syrian refugee program by 500..."
"0.43"," Tim Kaine","First, Donald Trump said wages are too high."
"0.43"," Mike Pence","The state of Indiana has also sought to make sure that we expand alternatives in health care counseling for women, non-abortion alternatives."
"0.43"," Tim Kaine","And look, criminal justice is about respecting the law and being respected by the law."
"0.43"," Tim Kaine","And I said about Aleppo, we do agree the notion is we have to create a humanitarian zone in northern Syria."
"0.42"," Tim Kaine","But when folks went and explored this situation, what they found is that Philando Castile, who was a -- they called him Mr. Rogers with Dreadlocks in the school that he worked."
"0.42"," Tim Kaine","I'm on the Foreign Relations Committee."
"0.42"," Tim Kaine","It gets higher rankings for its charity than the American Red Cross does."
"0.42"," Tim Kaine","First, we're going to protect Social Security, which is one of the greatest programs that the American government has ever done."
"0.42"," Mike Pence","But Hillary Clinton wants to -- wants to repeal the longstanding provision in the law where we said we wouldn't use taxpayer dollars to fund abortion."
"0.42"," Tim Kaine","His sons have said that the organization has a lot of business dealings in Russia."
"0.42"," Mike Pence","Donald Trump is committed to restoring the borders of this nation and securing our nation, enforcing our laws."
"0.42"," Tim Kaine","So it was Hillary Clinton who worked with Russia on the New START Treaty to reduce their nuclear weapons stockpile."
"0.42"," Tim Kaine","Even after President Bush stopped pushing for it, Congressman Pence kept pushing for it."
"0.42"," Tim Kaine","She worked to get benefits for -- TRICARE benefits for National Guard members, including Hoosiers and Virginians in the National Guard."
"0.42"," Tim Kaine","She worked a tough negotiation with nations around the world to eliminate the Iranian nuclear weapons program without firing a shot."
"0.42"," Mike Pence","Donald Trump's idea that more nations should get nuclear weapons, Saudi Arabia, Japan, South Korea."
"0.41"," Tim Kaine","The foundation was just fined for illegally contributing foundation dollars to a political campaign of a Florida attorney general."
"0.41"," Mike Pence","We've been talking it to death for 20 years."
"0.41"," Mike Pence","And the union for Immigrations and Customs Enforcement for the first time in their history endorsed Donald Trump to be the next president of the United States of America."
"0.41"," Tim Kaine","When Donald Trump says Mexicans are rapists and criminals, Mexican immigrants, when Donald Trump says about your judge, a Hoosier judge, he said that Judge Curiel was unqualified to hear a case because his parents were Mexican, I can't imagine how you could defend that."
"0.41"," Tim Kaine","He went after John McCain, a POW, and said he wasn't hero because he'd been captured."
"0.41"," Mike Pence","Ronald Reagan said something really interesting about nuclear proliferation back in the 1980s."
"0.41"," Tim Kaine","We even wiped out the leader of Al Qaida."
"0.41"," Tim Kaine","And Hillary Clinton as secretary of state acted in the interests of the United States."
"0.41"," Tim Kaine","He said he wants to put it on the ash heap of history."
"0.41"," Mike Pence","After the Russian reset, the Russians invaded Ukraine and took over Crimea."
"0.41"," Tim Kaine","Did he apologize for saying President Obama was not even a citizen of the United States?"
"0.41"," Tim Kaine","But Governor Pence said, inarguably, Vladimir Putin is a better leader than President Obama."
"0.41"," Tim Kaine","And that walkout led to the Brown v. Board of Education decision that moved us down the path toward equality."
"0.41"," Mike Pence","But I -- Donald Trump has a plan that he laid out in Arizona, that will deal systemically with illegal immigration, beginning with border security, internal enforcement."
"0.40"," Mike Pence","... and the fact that they got $1.7 billion in a ransom payment..."
"0.40"," Tim Kaine","You both have said -- you both have said Vladimir Putin is a better leader than the president."
"0.40"," Mike Pence","Yes."
"0.40"," Tim Kaine","Yes."
"0.40"," Mike Pence","He fell in Fallujah in 2005."
"0.40"," Tim Kaine","And paid few taxes and lost a billion a year."
"0.40"," Mike Pence","It's probably -- probably why the 330,000 members of the Fraternal Order of Police endorsed Donald Trump as the next president of the United States of America, because they see his commitment to them."
"0.40"," Tim Kaine","Governor Pence just said -- Governor Pence just said that Donald Trump will rebuild the military."
"0.40"," Tim Kaine","And we stopped a nuclear weapons program without a shot."
"0.40"," Tim Kaine","It's putting money into Donald Trump's pockets and into the pockets of his children, whereas the Clinton Foundation is a non- profit and no Clinton family member draws any salary."
"0.39"," Tim Kaine","He said, \""I have a secret plan,\"" and then he said, \""Um, I know more than all the generals about ISIL.\"""
"0.39"," Mike Pence","It begins by rebuilding our military."
"0.39"," Tim Kaine","The terrorist threat has decreased in some ways because an Iranian nuclear weapons program has been stopped."
"0.39"," Tim Kaine","We stopped Iran from getting nuclear weapons."
"0.39"," Mike Pence","And the Russians and the Chinese have been making enormous investments in the military."
"0.39"," Mike Pence","She had a Clinton Foundation accepting contributions from foreign governments."
"0.39"," Tim Kaine","We just did an extensive sanctions package against North Korea."
"0.39"," Tim Kaine","... to Donald Trump apologizing for calling women slobs, pigs, dogs, disgusting."
"0.39"," Mike Pence","He also said and many of them are good people."
"0.39"," Tim Kaine","And he perpetrated this outrageous and bigoted lie that President Obama is not a U.S. citizen."
"0.39"," Mike Pence","Because at a time of great challenge in the life of this nation, where we've weakened America's place in the world, stifled America's economy, the campaign of Hillary Clinton and Tim Kaine has been an avalanche of insults."
"0.39"," Mike Pence","It has been a platform for the Clintons to travel the world, to have staff."
"0.39"," Tim Kaine","But can you defend Donald Trump's claim that more nations should get nuclear weapons?"
"0.39"," Mike Pence","Ronald Reagan said a nation without borders is not a nation."
"0.39"," Mike Pence","It begins with border security."
"0.38"," Mike Pence","I -- I signed criminal justice reform in the state of Indiana, Senator, and we're very proud of it."
"0.38"," Mike Pence","Or that -- I know you've historically opposed taxpayer funding of abortion."
"0.38"," Mike Pence","... slowest economic recovery since the Great Depression."
"0.38"," Tim Kaine","We will focus on -- and Hillary Clinton has rolled out a really comprehensive mental health reform package that she worked on with law enforcement professionals, and we will also fight the scourge of gun violence in the United States."
"0.38"," Tim Kaine","I was a governor of Virginia with two Republican houses."
"0.38"," Mike Pence","It's probably why for the first time in the history of Immigration and Customs Enforcement their union actually endorsed Donald Trump as the next president of the United States, because they know they need help to enforce the laws of this country."
"0.38"," Tim Kaine","And he had to be reminded that they had gone into the Crimea two years before."
"0.38"," Mike Pence","For the last seven-and-a-half years, we've seen America's place in the world weakened."
"0.38"," Mike Pence","... while she's secretary of state."
"0.38"," Tim Kaine","And Social Security has enabled people to retire with dignity and overwhelmingly not be in poverty."
"0.38"," Mike Pence","The president just ordered more troops on the ground."
"0.38"," Tim Kaine","Stopping a nuclear weapons program without firing a shot?"
"0.38"," Tim Kaine","More nations should get nuclear weapons."
"0.38"," Tim Kaine","Five components."
"0.37"," Mike Pence","I traveled in and out of that region for 10 years."
"0.37"," Tim Kaine","Donald Trump started this campaign in 2014 and he said, \""If I run for president, I will absolutely release my taxes.\"""
"0.37"," Tim Kaine","That's our proposal."
"0.37"," Tim Kaine","We have a son deployed overseas in the Marine Corps right now."
"0.37"," Tim Kaine","Do you know that Iran was racing toward a nuclear weapon and Russia was expanding its stockpile?"
"0.37"," Mike Pence","Hillary Clinton -- Hillary Clinton -- Hillary Clinton failed to renegotiate a status of forces agreement..."
"0.37"," Tim Kaine","It was very, very difficult to allow executions to go forward, but in circumstances where I didn't feel like there was a case for clemency, I told Virginia voters I would uphold the law, and I did."
"0.37"," Mike Pence","But they also -- they also hear the bad mouthing, the bad mouthing that comes from people that seize upon tragedy in the wake of police action shootings as -- as a reason to -- to use a broad brush to accuse law enforcement of -- of implicit bias or institutional racism."
"0.37"," Tim Kaine","That's what the Israeli joint chiefs of staff is saying right now."
"0.37"," Tim Kaine","We're going to stand up against efforts to privatize Social Security."
"0.37"," Mike Pence","... of Hillary Clinton and Barack Obama."
"0.37"," Mike Pence","And that nation was secured in 2009."
"0.37"," Mike Pence","Put on top of that the kind of trade deals that'll put the American worker first, and you've got a prescription for real growth."
"0.37"," Mike Pence","She apologized for saying \""half.\"""
"0.37"," Tim Kaine","He built a business career, in the words of one of his own campaign staffers, \""off the backs of the little guy.\"""
"0.37"," Tim Kaine","Mike Pence and I both are descended from immigrant families."
"0.37"," Mike Pence","I mean, the truth of the matter is, the policies of this administration, which Hillary Clinton and Senator Kaine want to continue, have run this economy into a ditch."
"0.37"," Mike Pence","Indiana has passed criminal justice reform."
"0.37"," Tim Kaine","And he has been a one-man bulwark against minimum wage increases in Indiana."
"0.37"," Mike Pence","But the Clintons figured out a way to create a foundation where foreign governments and foreign donors could donate millions of dollars."
"0.36"," Tim Kaine","The terrorist threat has decreased in some ways, because bin Laden is dead."
"0.36"," Mike Pence","Donald Trump has paid all the taxes that he's -- do you not take deductions?"
"0.36"," Tim Kaine","One of those killed at Virginia Tech was a guy named Liviu Librescu."
"0.36"," Tim Kaine","From a time as a kid in a Methodist youth group in the suburbs of Chicago, she has been focused on serving others with a special focus on empowering families and kids."
"0.36"," Mike Pence","There are criminal aliens in this country, Tim, who have come into this country illegally who are perpetrating violence and taking American lives."
"0.36"," Tim Kaine","It helps Americans deal with opioid overdoses."
"0.36"," Mike Pence","The United States of America needs to begin to exercise strong leadership to protect the vulnerable citizens and over 100,000 children in Aleppo."
"0.36"," Tim Kaine","Donald Trump, on the other hand, didn't know that Russia had invaded the Crimea."
"0.36"," Mike Pence","He said he's stronger -- he's been stronger on the world stage."
"0.36"," Tim Kaine","America should really wonder about a President Trump, who had a campaign manager with ties to Putin, pro- Putin elements in the Ukraine, who had to be fired for that reason."
"0.36"," Tim Kaine","And yesterday an appellate court with three Republican judges struck down the Pence plan..."
"0.36"," Tim Kaine","The guy, Philando Castile, who was killed in St. Paul, he was a worker, a valued worker in a local school."
"0.36"," Mike Pence","Donald Trump and I would never support legislation that punished women who made the heartbreaking choice to end a pregnancy."
"0.36"," Tim Kaine","And when Congressman Pence was in Congress, he was the chief cheerleader for the privatization of Social Security."
"0.36"," Tim Kaine","NATO is obsolete, and we'll only work together with Israel if they pay \""big league.\"""
"0.36"," Mike Pence","But also, Donald Trump and I are committed to suspending the Syrian refugee program and programs and immigration from areas of the world that have been compromised by terrorism."
"0.35"," Mike Pence","And Iraq has been overrun by ISIS, because Hillary Clinton failed to renegotiate..."
"0.35"," Tim Kaine","And yet she stood up to them on issues such as Syria and their invasion of Georgia."
"0.35"," Mike Pence","Look, what -- what you all just heard out there is more taxes, $2 trillion in more spending, more deficits, more debt, more government."
"0.35"," Mike Pence","We've said we're going to meet the obligations of Medicare."
"0.35"," Tim Kaine","When I was running for governor, I was attacked pretty strongly because of my position on the death penalty."
"0.35"," Mike Pence","That's a little bit different than when Senator Kaine was governor here in Virginia."
"0.35"," Tim Kaine","Our plan is like Ronald Reagan's plan from 1986."
"0.35"," Tim Kaine","Hillary Clinton as secretary of state took no action to benefit the foundation."
"0.35"," Mike Pence","Foreign donors, and certainly foreign governments, cannot participate in the American political process."
"0.35"," Tim Kaine","And if you look at sentencing in this country, African-Americans and Latinos get sentenced for the same crimes at very different rates."
"0.35"," Tim Kaine","He attacked an Indiana-born federal judge and said he was unqualified to hear a federal lawsuit because his parents were Mexican."
"0.35"," Tim Kaine","When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said, no, we're building a wall, and we're deporting everybody."
"0.35"," Tim Kaine","Do they have a passion in their life that showed up before they were in public life?"
"0.35"," Tim Kaine","Hillary Clinton has gone toe-to-toe with Russia to work out a deal on New START."
"0.35"," Mike Pence","All Donald Trump -- all Donald Trump and I have said about Social Security is we're going to meet our obligations to our seniors."
"0.35"," Tim Kaine","... has business dealings -- has business dealings with Russia that he refuses to disclose."
"0.35"," Tim Kaine","She was part of the team that got bin Laden, and she'll lead the team that will get Abu Bakr al-Baghdadi, the head of ISIS."
"0.35"," Tim Kaine","My 40th reunion is in 10 days."
"0.35"," Tim Kaine","They should wonder -- when Donald Trump is sitting down with Vladimir Putin, is it going to be America's bottom line or is it going to be Donald Trump's bottom line that he's going to be worried about with all of his business dealings?"
"0.35"," Tim Kaine","Fourth, we promote small business growth, just as we've done in Virginia, to make it easier to start and grow small businesses."
